Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
Q03210,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q01477,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P25348,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P50111,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q06508,---,---,8.44E-05,---,---,---,---,---,---,---,---,---
P00424,---,---,---,---,---,---,3.10E-03,8.48E-01,4.61E-03,2.08E+00,5.02E-03,1.82E+00
P11986,---,---,---,---,---,---,9.99E-04,1.65E+00,5.15E-04,5.53E-01,6.01E-04,6.84E-01
P53550,---,---,---,---,---,---,0.00E+00,0.00E+00,1.35E-04,1.57E+00,7.44E-05,1.93E+00
P38264,---,---,---,---,---,---,6.27E-04,1.43E+00,1.20E-03,4.11E+00,8.93E-04,2.24E+00
Q03104,---,---,---,---,---,---,7.74E-05,1.73E-01,3.04E-04,9.97E-01,1.89E-04,6.09E-01
P40364,---,---,---,---,---,---,2.03E-04,9.91E-02,3.78E-04,2.17E-01,4.36E-04,2.21E-01
P37267,---,---,---,---,---,---,0.00E+00,0.00E+00,2.45E-03,9.37E-01,1.58E-03,7.76E-01
P32799,---,---,---,---,---,---,1.29E-03,3.68E-01,4.63E-03,3.24E+00,4.25E-03,3.25E+00
Q03713,---,---,---,---,---,---,6.43E-04,3.10E-01,1.97E-03,1.37E+00,2.51E-03,2.37E+00
P38836,---,---,---,---,---,---,7.33E-04,1.27E+00,3.90E-04,4.82E-01,3.69E-04,5.45E-01
P36041,---,---,---,---,---,---,1.21E-04,8.44E+00,2.64E-04,3.63E+00,1.33E-04,2.26E+00
P23644,---,---,---,---,---,---,3.71E-04,6.00E-01,3.11E-04,4.86E-01,4.11E-04,6.78E-01
P11075,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E-06,2.52E-01
P32891,---,---,---,---,---,---,1.57E-04,1.11E+00,1.83E-04,4.00E+00,1.65E-04,1.05E+01
P40896,---,---,---,---,---,---,1.50E-03,1.36E+01,9.42E-04,6.75E+00,9.21E-04,4.66E+00
P36139,---,---,---,---,---,---,1.36E-04,1.26E-01,2.96E-04,2.95E-01,8.44E-05,7.72E-02
Q04632,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.11E-05,2.75E-01
P08067,---,---,---,---,---,---,7.33E-04,7.08E-01,1.22E-03,1.59E+00,7.84E-04,1.00E+00
Q07716,---,---,---,---,---,---,3.32E-04,7.42E-01,1.23E-04,1.88E-01,2.15E-04,3.74E-01
P50088,---,---,---,---,---,---,4.18E-04,2.56E-01,4.79E-03,4.55E+00,4.51E-03,5.63E+00
P22579,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P38234,---,---,---,---,---,---,1.82E-03,4.16E+00,1.48E-03,2.13E+00,1.46E-03,2.04E+00
P19880,---,---,---,---,---,---,6.11E-05,5.46E-01,1.78E-05,4.13E-01,3.69E-05,1.30E+00
Q04279,---,---,---,---,---,---,1.33E-05,---,3.79E-05,---,7.47E-05,7.51E+00
P81449,---,---,---,---,---,---,2.06E-03,1.20E+00,3.62E-03,3.14E+00,3.55E-03,2.27E+00
P32565,---,---,---,---,---,---,0.00E+00,0.00E+00,7.62E-05,2.65E+00,6.34E-05,1.28E+00
P38635,---,---,---,---,---,---,5.01E-04,2.61E+00,8.15E-04,4.26E+00,6.18E-04,2.45E+00
Q03034,---,---,---,---,---,---,9.18E-04,---,7.59E-04,---,7.00E-04,---
P43638,---,---,---,---,---,---,9.13E-06,1.96E-01,1.75E-05,1.35E+00,8.54E-06,3.20E-01
P34909,---,---,---,---,---,---,4.37E-05,2.80E-01,1.22E-04,1.12E+00,1.84E-04,2.31E+00
P04039,---,---,---,---,---,---,9.83E-04,9.22E-01,4.14E-03,3.24E+00,3.63E-03,3.75E+00
P22434,---,---,---,---,---,---,8.96E-04,3.64E+01,3.56E-04,6.85E+00,3.65E-04,4.84E+00
Q03497,---,---,---,---,---,---,2.72E-05,---,0.00E+00,0.00E+00,3.83E-05,---
Q04033,---,---,---,---,---,---,5.58E-04,2.25E+00,3.84E-04,2.25E+00,3.23E-04,1.29E+00
P43619,---,---,---,---,---,---,1.34E-03,---,1.26E-03,1.34E+01,7.38E-04,5.83E+00
P39013,---,---,---,---,---,---,0.00E+00,0.00E+00,2.07E-04,2.58E+00,1.03E-04,1.28E+00
Q06677,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P25619,---,---,---,---,---,---,1.16E-04,2.20E-01,2.14E-04,4.08E-01,2.16E-04,5.47E-01
P38682,---,---,---,---,---,---,2.60E-05,---,1.45E-04,1.30E+00,7.49E-05,---
P22211,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P11938,---,---,---,---,---,---,3.09E-05,2.84E+00,1.46E-05,---,8.79E-05,1.56E+00
P00175,---,---,---,---,---,---,1.08E-04,7.04E+00,1.03E-04,3.16E+00,8.10E-05,---
P33448,---,---,---,---,---,---,2.09E-04,1.39E-01,2.00E-04,1.67E-01,0.00E+00,0.00E+00
P54861,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P21538,---,---,---,---,---,---,1.58E-05,3.55E-01,3.01E-05,2.70E+00,2.96E-05,---
P40328,---,---,---,---,---,---,1.69E-05,---,9.60E-05,---,7.93E-05,---
Q12427,---,---,---,---,---,---,1.83E-04,---,1.84E-04,---,2.37E-04,---
P51601,---,---,---,---,---,---,5.32E-04,7.11E+00,8.34E-04,5.66E+00,5.92E-04,3.09E+00
P47017,---,---,---,---,---,---,8.43E-04,1.51E+01,1.46E-03,1.36E+01,1.06E-03,---
P38265,---,---,---,---,---,---,5.21E-05,9.79E-02,0.00E+00,0.00E+00,1.02E-04,1.76E-01
Q08229,---,---,---,---,---,---,0.00E+00,0.00E+00,2.14E-04,---,1.21E-04,---
P38203,---,---,---,---,---,---,2.86E-03,2.84E+01,1.51E-03,7.93E+00,1.65E-03,8.29E+00
P39523,---,---,---,---,---,---,0.00E+00,---,7.64E-05,---,0.00E+00,0.00E+00
Q3E824,---,---,---,---,---,---,2.84E-04,1.39E-01,0.00E+00,0.00E+00,1.33E-04,5.78E-02
P40442,---,---,---,---,---,---,1.31E-04,3.54E-01,3.61E-05,1.01E+00,4.83E-05,4.66E-01
Q04225,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q03281,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q12109,---,---,---,---,---,---,0.00E+00,0.00E+00,5.48E-05,8.38E-01,5.94E-05,1.37E+00
P33417,---,---,---,---,---,---,4.28E-05,9.24E-01,1.80E-04,9.04E-01,1.42E-04,3.05E+00
Q08438,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q92317,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.58E-04,4.47E-01
Q06451,---,---,---,---,---,---,0.00E+00,0.00E+00,1.94E-05,3.37E-01,0.00E+00,0.00E+00
P53299,---,---,---,---,---,---,3.79E-04,1.08E+00,1.14E-03,3.34E+00,7.98E-04,4.47E+00
Q12743,---,---,---,---,---,---,2.25E-04,1.20E+00,1.41E-04,1.25E+00,2.13E-04,---
Q03954,---,---,---,---,---,---,7.77E-05,3.46E-01,5.02E-04,1.52E+00,2.91E-04,2.58E+00
P39743,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P53721,---,---,---,---,---,---,1.72E-04,4.23E+00,4.28E-04,2.09E+00,4.82E-04,---
P38824,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P14065,---,---,---,---,---,---,4.09E-05,2.79E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P23493,---,---,---,---,---,---,1.97E-04,---,2.12E-04,---,2.55E-04,4.70E+00
P32340,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.02E-05,7.83E-01
P39101,---,---,---,---,---,---,0.00E+00,0.00E+00,1.52E-04,---,9.21E-05,---
P07278,---,---,---,---,---,---,3.07E-05,2.33E-01,1.14E-04,---,8.63E-05,7.66E-01
P31383,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.02E-05,2.29E-01
P21306,---,---,---,---,---,---,1.05E-03,1.01E+00,7.66E-04,6.51E-01,7.86E-04,5.75E-01
Q12285,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P53905,---,---,---,---,---,---,8.15E-04,3.40E+00,8.35E-04,1.00E+01,9.53E-04,---
Q04183,---,---,---,---,---,---,1.99E-05,---,0.00E+00,---,9.96E-06,1.39E+00
P54785,---,---,---,---,---,---,2.61E-05,2.74E-01,2.93E-04,8.02E+00,3.01E-04,---
P35997,---,---,---,---,---,---,2.43E-03,---,3.63E-03,---,3.74E-03,---
P19956,---,---,---,---,---,---,3.92E-04,5.17E-01,1.58E-03,---,1.49E-03,---
P38147,---,---,---,---,---,---,2.43E-05,4.64E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P07273,---,---,---,---,---,---,1.24E-04,---,2.34E-04,---,1.94E-04,---
P53297,---,---,---,---,---,---,0.00E+00,---,3.36E-05,---,3.34E-05,1.27E+00
P38736,---,---,---,---,---,---,4.78E-04,---,4.83E-04,---,2.69E-04,6.52E+00
P32897,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P35197,---,---,---,---,---,---,0.00E+00,0.00E+00,6.72E-05,2.61E+00,1.43E-04,5.28E+00
P40070,---,---,---,---,---,---,8.28E-04,---,3.84E-04,---,4.53E-04,---
Q03674,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.69E-05,1.61E-01
P42940,---,---,---,---,---,---,3.04E-04,---,2.31E-04,---,1.87E-04,---
Q2V2P2,---,---,---,---,---,---,5.25E-04,1.07E+00,4.96E-04,5.57E-01,0.00E+00,0.00E+00
P40513,---,---,---,---,---,---,1.07E-04,3.84E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q3E752,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32190,---,---,---,---,---,---,4.00E-05,---,8.42E-05,---,5.05E-05,---
Q05543,---,---,---,---,---,---,0.00E+00,0.00E+00,5.91E-05,2.73E+00,8.76E-05,---
P33299,---,---,---,---,---,---,0.00E+00,0.00E+00,2.61E-05,4.35E-01,0.00E+00,0.00E+00
Q01389,---,---,---,---,---,---,0.00E+00,---,7.85E-06,---,0.00E+00,0.00E+00
P37298,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P40467,---,---,---,---,---,---,5.45E-05,---,2.47E-05,6.29E-01,2.57E-05,6.64E-01
P40098,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P39994,---,---,---,---,---,---,9.39E-05,2.91E+00,8.56E-05,8.72E-01,2.15E-05,6.54E-01
P32353,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P30665,---,---,---,---,---,---,0.00E+00,---,2.59E-05,---,5.13E-05,---
P38260,---,---,---,---,---,---,4.40E-05,---,1.63E-04,5.34E+00,1.30E-04,---
Q12296,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---
P39721,---,---,---,---,---,---,4.84E-04,2.62E+00,2.42E-04,6.72E+00,1.01E-04,2.70E+00
Q05584,---,---,---,---,---,---,5.17E-05,1.48E+00,2.64E-04,---,1.75E-04,---
P40086,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32368,---,---,---,---,---,---,0.00E+00,---,1.55E-04,---,1.74E-04,---
Q08561,---,---,---,---,---,---,3.31E-04,2.12E+00,0.00E+00,---,0.00E+00,0.00E+00
P53834,---,---,---,---,---,---,2.60E-04,---,2.35E-04,2.02E+00,3.14E-04,2.54E+00
P39001,---,---,---,---,---,---,0.00E+00,0.00E+00,4.38E-05,---,2.86E-05,---
P25644,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P09201,---,---,---,---,---,---,1.59E-04,6.09E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q03153,---,---,---,---,---,---,6.26E-05,---,7.74E-05,---,0.00E+00,---
P46988,---,---,---,---,---,---,4.95E-04,6.00E+00,5.52E-04,---,5.64E-04,---
Q00362,---,---,---,---,---,---,7.29E-05,---,1.13E-04,---,6.87E-05,---
P40029,---,---,---,---,---,---,4.94E-04,---,5.19E-04,---,2.61E-04,---
P25582,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---
P36531,---,---,---,---,---,---,0.00E+00,0.00E+00,6.90E-05,1.38E+00,0.00E+00,0.00E+00
P81450,---,---,---,---,---,---,0.00E+00,0.00E+00,6.08E-04,6.52E-01,1.25E-03,1.94E+00
P22855,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P24276,---,---,---,---,---,---,2.05E-05,---,2.87E-05,---,1.91E-05,---
P38293,---,---,---,---,---,---,0.00E+00,0.00E+00,2.35E-04,3.92E+00,6.60E-04,---
P36100,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---
P39103,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P38426,---,---,---,---,---,---,1.21E-05,7.02E-01,1.10E-05,1.28E+00,0.00E+00,0.00E+00
P38870,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32496,---,---,---,---,---,---,1.40E-04,---,1.76E-04,---,2.19E-04,---
P14164,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-05,---
Q04792,---,---,---,---,---,---,0.00E+00,---,1.41E-04,---,4.39E-05,---
P00401,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q99207,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
Q08723,---,---,---,---,---,---,0.00E+00,---,6.86E-05,---,3.56E-05,6.48E-01
P43612,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---
P04710,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q04341,---,---,---,---,---,---,1.05E-04,1.40E+00,2.97E-04,5.72E-01,1.99E-04,1.28E+00
Q12329,---,---,---,---,---,---,0.00E+00,---,3.09E-05,2.15E-01,3.18E-05,2.51E-01
Q12276,---,---,---,---,---,---,4.33E-05,---,9.69E-06,---,1.03E-05,---
Q12280,---,---,---,---,---,---,0.00E+00,---,3.25E-05,---,8.06E-06,---
P32461,---,---,---,---,---,---,4.78E-05,2.84E+00,6.60E-05,---,9.15E-05,5.21E+00
P53925,---,---,---,---,---,---,0.00E+00,---,1.12E-04,---,3.85E-05,---
Q03466,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P07143,---,---,---,---,---,---,0.00E+00,---,2.72E-04,---,1.58E-04,---
Q08217,---,---,---,---,---,---,0.00E+00,0.00E+00,1.10E-05,1.26E+00,4.58E-05,5.38E+00
Q3E784,---,---,---,---,---,---,0.00E+00,0.00E+00,4.29E-04,2.04E+00,2.82E-04,6.31E-01
P43633,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P47128,---,---,---,---,---,---,1.13E-04,---,8.47E-04,---,1.20E-03,1.42E+01
P36124,---,---,---,---,---,---,3.41E-05,---,3.22E-05,2.73E+00,1.59E-05,---
Q12345,---,---,---,---,---,---,0.00E+00,---,1.93E-04,---,9.59E-05,---
P36053,---,---,---,---,---,---,2.65E-04,---,6.63E-04,2.01E+00,4.19E-04,---
P40072,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P22289,---,---,---,---,---,---,0.00E+00,---,5.23E-03,---,3.63E-04,---
Q08269,---,---,---,---,---,---,0.00E+00,---,4.11E-05,---,0.00E+00,---
P53759,---,---,---,---,---,---,0.00E+00,0.00E+00,2.89E-05,---,0.00E+00,0.00E+00
P04173,---,---,---,---,---,---,7.04E-05,9.48E-01,3.19E-05,---,3.28E-05,---
P23292,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P35209,---,---,---,---,---,---,3.74E-05,---,1.53E-05,---,0.00E+00,---
P31380,---,---,---,---,---,---,1.13E-05,---,3.22E-05,3.79E+00,0.00E+00,---
P36024,---,---,---,---,---,---,4.56E-05,1.37E+00,0.00E+00,---,0.00E+00,---
P41901,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q12518,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q12265,---,---,---,---,---,---,0.00E+00,0.00E+00,2.46E-05,4.47E-01,0.00E+00,---
P40312,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.95E-05,1.83E-01
Q03306,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P38116,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---
O13563,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P36141,---,---,---,---,---,---,7.04E-04,---,0.00E+00,---,0.00E+00,---
P47024,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P25623,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P32505,---,---,---,---,---,---,1.52E-04,---,2.21E-05,---,2.29E-05,---
P47135,---,---,---,---,---,---,5.98E-05,---,2.17E-05,---,2.21E-05,---
Q06549,---,---,---,---,---,---,3.69E-04,---,1.71E-04,---,9.04E-05,---
Q08732,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,1.59E-05,6.54E-01
P32773,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32337,---,---,---,---,---,---,1.30E-05,---,2.22E-05,---,0.00E+00,---
P38996,---,---,---,---,---,---,3.18E-05,2.84E+00,2.89E-05,2.42E+00,0.00E+00,0.00E+00
P38821,---,---,---,---,---,---,7.85E-05,---,0.00E+00,---,2.62E-05,---
P46974,---,---,---,---,---,---,0.00E+00,0.00E+00,8.40E-06,---,0.00E+00,---
P33775,---,---,---,---,---,---,0.00E+00,---,2.96E-05,---,4.38E-05,3.89E+00
P27999,---,---,---,---,---,---,5.24E-04,---,1.98E-04,---,2.94E-04,---
P53724,---,---,---,---,---,---,1.84E-04,---,0.00E+00,---,2.64E-04,---
P25372,---,---,---,---,---,---,6.05E-04,8.45E+00,9.61E-05,---,1.89E-04,---
Q07442,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P06777,---,---,---,---,---,---,0.00E+00,---,3.31E-05,---,0.00E+00,---
P32179,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-05,1.35E+00
P36132,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,9.51E-05,---
P46947,---,---,---,---,---,---,4.80E-05,---,4.54E-05,---,1.35E-04,---
P32388,---,---,---,---,---,---,3.74E-04,5.35E+00,0.00E+00,---,1.75E-04,---
P08456,---,---,---,---,---,---,0.00E+00,0.00E+00,1.72E-04,---,2.17E-04,---
P53309,---,---,---,---,---,---,2.26E-05,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q03667,---,---,---,---,---,---,0.00E+00,0.00E+00,7.43E-05,1.28E+00,0.00E+00,---
P32790,---,---,---,---,---,---,0.00E+00,---,2.90E-05,---,9.60E-06,---
O60200,---,---,---,---,---,---,1.65E-04,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q08421,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---
P38222,---,---,---,---,---,---,7.20E-05,---,4.20E-05,2.56E+00,0.00E+00,---
P38430,---,---,---,---,---,---,2.05E-04,---,0.00E+00,---,3.81E-05,---
P38325,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P39714,---,---,---,---,---,---,3.36E-05,---,0.00E+00,---,6.72E-05,---
Q12184,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-05,4.24E-01
P32775,---,---,---,---,---,---,6.04E-05,---,0.00E+00,---,1.82E-05,---
P31111,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,4.10E-05,3.76E+00
P15801,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P40169,---,---,---,---,---,---,0.00E+00,---,7.70E-05,8.37E-01,7.97E-05,2.56E+00
P36025,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.45E-05,4.17E-01
Q03264,---,---,---,---,---,---,5.50E-05,---,0.00E+00,---,0.00E+00,---
P38851,---,---,---,---,---,---,0.00E+00,---,1.97E-05,---,1.05E-05,---
P53851,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P53932,---,---,---,---,---,---,2.00E-05,---,1.88E-05,6.81E-01,0.00E+00,0.00E+00
P02294,---,---,---,---,---,---,1.70E-03,2.66E+00,1.09E-03,5.39E+00,1.50E-03,2.32E+00
P08525,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E-04,3.37E-01
P32831,---,---,---,---,---,---,3.81E-05,---,5.27E-05,---,0.00E+00,---
P38810,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,2.59E-05,---
P03878,---,---,---,---,---,---,2.31E-05,---,0.00E+00,---,6.50E-05,---
P35177,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
Q04922,---,---,---,---,---,---,2.76E-05,---,0.00E+00,---,5.13E-05,---
P15938,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
P47127,---,---,---,---,---,---,6.49E-05,---,6.20E-05,---,9.14E-05,---
P14291,---,---,---,---,---,---,0.00E+00,0.00E+00,1.46E-05,4.28E-01,1.44E-05,4.24E-01
P19812,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,1.24E-05,2.52E+00
P32783,---,---,---,---,---,---,2.94E-05,---,0.00E+00,---,1.16E-04,---
Q02354,---,---,---,---,---,---,3.22E-05,7.89E-01,0.00E+00,0.00E+00,0.00E+00,---
Q06116,---,---,---,---,---,---,1.08E-05,2.96E+00,4.66E-06,---,9.63E-06,1.30E+00
Q12150,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,1.68E-05,---
P47818,---,---,---,---,---,---,3.98E-05,---,3.60E-05,4.36E-01,0.00E+00,---
P50107,---,---,---,---,---,---,2.35E-04,---,0.00E+00,---,0.00E+00,---
P53120,---,---,---,---,---,---,0.00E+00,---,1.98E-05,2.73E+00,0.00E+00,0.00E+00
P38854,---,---,---,---,---,---,2.81E-05,---,9.64E-05,---,0.00E+00,---
P33308,---,---,---,---,---,---,1.81E-04,---,1.60E-04,---,1.60E-04,---
P23060,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,6.58E-05,---
Q02979,---,---,---,---,---,---,2.10E-05,---,0.00E+00,---,9.76E-06,---
Q3E790,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,7.49E-04,---
P32477,---,---,---,---,---,---,3.97E-05,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P21372,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00
P15442,---,---,---,---,---,---,0.00E+00,0.00E+00,1.47E-05,---,7.26E-06,---
P43564,---,---,---,---,---,---,2.64E-05,---,0.00E+00,---,0.00E+00,---
Q02866,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,3.90E-05,---
P38111,---,---,---,---,---,---,5.98E-06,---,1.03E-05,---,0.00E+00,---
P32867,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00
P20134,---,---,---,---,---,---,3.33E-05,---,0.00E+00,---,1.57E-05,---
P32849,---,---,---,---,---,---,0.00E+00,---,3.02E-05,---,0.00E+00,---
P32580,---,---,---,---,---,---,3.66E-05,---,4.93E-05,---,0.00E+00,---
P32564,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,2.57E-04,---
Q03921,---,---,---,---,---,---,1.51E-05,---,7.11E-06,---,7.03E-06,1.25E+00
Q08748,---,---,---,---,---,---,1.98E-05,---,0.00E+00,0.00E+00,0.00E+00,---
Q12123,---,---,---,---,---,---,8.03E-05,---,0.00E+00,---,0.00E+00,---
P20485,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P40358,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P39083,---,---,---,---,---,---,2.55E-05,---,0.00E+00,---,0.00E+00,---
P53743,---,---,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,4.06E-05,---
P30771,---,---,---,---,---,---,1.46E-05,---,0.00E+00,---,2.64E-05,---
P53076,---,---,---,---,---,---,1.34E-05,---,1.26E-05,6.66E-01,0.00E+00,---
Q03088,---,---,---,---,---,---,1.55E-05,---,2.96E-05,---,0.00E+00,---
Q05787,---,---,---,---,---,---,3.40E-05,---,1.39E-05,---,1.54E-05,1.39E+00
P34237,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,5.29E-05,---
P38692,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,2.21E-05,---
Q03661,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,1.55E-05,---
P53258,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P39985,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,2.51E-05,---
Q07527,---,---,---,---,---,---,8.89E-06,6.67E-01,0.00E+00,---,0.00E+00,---
P41697,---,---,---,---,---,---,0.00E+00,---,3.07E-05,---,3.06E-05,---
P29468,---,---,---,---,---,---,4.49E-05,---,0.00E+00,---,0.00E+00,---
Q03825,---,---,---,---,---,---,0.00E+00,---,3.22E-05,---,0.00E+00,---
Q08550,---,---,---,---,---,---,0.00E+00,---,5.21E-05,---,0.00E+00,---
P53848,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,2.92E-05,2.62E+00
P14680,---,---,---,---,---,---,0.00E+00,---,1.44E-05,---,0.00E+00,0.00E+00
P18238,---,---,---,---,---,---,1.66E-04,---,3.09E-04,---,0.00E+00,---
P56508,---,---,---,---,---,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
