,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
Peroxiredoxin type-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AHP1 PE=1 SV=4,AHP1 YLR109W L2916 L9354.5,P38013,5.01,176,18983.48,1,0,Cytoplasm. ,cell redox homeostasis; cellular response to oxidative stress; cytoplasm; plasma membrane; response to metal ion; thioredoxin peroxidase activity,1.26E-02,3.68E-03,5.59E-04,3.50E-04,2.26E+01,2.68E-03,1.11E-03,9.24E-03,2.08E-03,2.90E-01,1.74E-03,4.58E-04,5.16E-03,1.62E-04,3.38E-01,2.91E-03,1.64E-03,2.58E-04,3.23E-04,1.13E+01,1.55E-03,5.38E-04,4.66E-04,1.46E-04,3.33E+00,1.92E-03,1.41E-03,3.19E-04,1.58E-04,6.01E+00,
Asparagine synthetase [glutamine-hydrolyzing] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASN1 PE=1 SV=2,ASN1 YPR145W P9659.3,P49089,5.73,572,64339.08,6,Amino-acid biosynthesis; L-asparagine biosynthesis; L-asparagine from L-aspartate (L-Gln route): step 1/1. ,0,ATP binding; L-asparagine biosynthetic process; asparagine biosynthetic process; asparagine synthase (glutamine-hydrolyzing) activity; cytoplasm; glutamine metabolic process,9.00E-05,1.04E-04,0.00E+00,0.00E+00,---,7.78E-04,2.16E-04,1.06E-03,1.58E-04,7.32E-01,8.24E-04,5.13E-04,9.08E-04,2.84E-04,9.08E-01,2.56E-04,4.96E-05,0.00E+00,0.00E+00,---,1.26E-04,6.46E-05,0.00E+00,0.00E+00,---,1.30E-04,6.95E-05,0.00E+00,0.00E+00,---,
60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11A PE=1 SV=2,RPL11A RP39A RPL16A YPR102C P8283.14,P0C0W9,9.92,174,19588.43,0,0,Cytoplasm. Nucleus. ,cytoplasmic translation; cytosolic large ribosomal subunit; nucleus; rRNA binding; ribosomal large subunit assembly; structural constituent of ribosome,4.47E-04,2.11E-04,0.00E+00,0.00E+00,---,1.75E-03,2.31E-04,2.18E-03,4.95E-04,8.04E-01,2.74E-03,1.28E-03,2.73E-03,3.47E-04,1.01E+00,3.02E-04,3.35E-04,0.00E+00,0.00E+00,---,1.40E-04,1.21E-04,0.00E+00,0.00E+00,---,1.37E-04,2.38E-04,0.00E+00,0.00E+00,---,
Mannose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMI40 PE=1 SV=4,PMI40 YER003C,P29952,5.65,429,48057.53,5,Nucleotide-sugar biosynthesis; GDP-alpha-D-mannose biosynthesis; alpha-D-mannose 1-phosphate from D-fructose 6-phosphate: step 1/2. ,Cytoplasm. ,GDP-mannose biosynthetic process; cell wall mannoprotein biosynthetic process; cytoplasm; mannose-6-phosphate isomerase activity; nucleus; protein glycosylation; zinc ion binding,5.76E-04,2.11E-04,8.14E-05,9.08E-05,7.07E+00,1.04E-03,1.37E-04,8.41E-04,7.33E-05,1.23E+00,4.77E-04,2.37E-04,9.93E-04,2.08E-04,4.80E-01,8.31E-04,2.24E-04,6.36E-05,1.10E-04,1.31E+01,4.74E-04,2.15E-04,4.18E-05,3.62E-05,1.14E+01,3.41E-04,1.39E-04,0.00E+00,0.00E+00,---,
40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS12 PE=1 SV=1,RPS12 YOR369C,P48589,4.68,143,15471.68,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic small ribosomal subunit; structural constituent of ribosome,1.84E-03,2.12E-04,6.82E-04,3.56E-04,2.70E+00,4.09E-03,4.39E-04,6.10E-03,4.84E-04,6.71E-01,3.44E-03,4.19E-04,4.46E-03,9.98E-04,7.70E-01,2.22E-03,5.57E-04,6.39E-04,2.06E-04,3.48E+00,2.18E-03,4.29E-04,6.44E-04,1.39E-04,3.38E+00,2.33E-03,6.00E-04,5.26E-04,1.21E-04,4.43E+00,
Glutamine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN4 PE=1 SV=2,GLN4 YOR168W O3601,P13188,8.56,809,93132.83,6,0,0,ATP binding; cytosol; glutamine-tRNA ligase activity; glutaminyl-tRNA aminoacylation; mitochondrion,1.32E-04,7.89E-05,0.00E+00,0.00E+00,---,2.20E-04,9.69E-05,3.05E-04,2.40E-05,7.19E-01,3.14E-04,1.75E-04,2.54E-04,1.53E-04,1.23E+00,1.58E-05,2.73E-05,1.18E-05,2.05E-05,1.33E+00,4.42E-05,4.48E-05,2.28E-05,1.98E-05,1.94E+00,0.00E+00,0.00E+00,5.79E-05,2.01E-05,0.00E+00,
Eisosome protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EIS1 PE=1 SV=1,EIS1 YMR031C YM9973.04C,Q05050,5.99,843,93213.98,0,0,Cytoplasmic granule. Cell membrane; Peripheral membrane protein; Cytoplasmic side. ,eisosome; eisosome assembly; mitochondrion; plasma membrane,1.63E-05,2.82E-05,5.67E-04,7.09E-05,2.87E-02,9.11E-05,1.21E-04,0.00E+00,0.00E+00,---,7.88E-05,1.36E-04,1.83E-04,6.21E-05,4.30E-01,1.38E-04,1.57E-04,4.48E-04,2.81E-05,3.09E-01,4.81E-04,1.22E-04,5.52E-04,1.51E-04,8.72E-01,6.08E-04,1.10E-04,4.78E-04,2.75E-05,1.27E+00,
Phosphoribosylformylglycinamidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE6 PE=1 SV=2,ADE6 YGR061C,P38972,5.15,1358,148904.96,6,Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 1/2. ,Cytoplasm. ,'de novo' IMP biosynthetic process; ATP binding; cytoplasm; glutamine metabolic process; phosphoribosylformylglycinamidine synthase activity,1.08E-04,6.57E-05,0.00E+00,0.00E+00,---,2.16E-04,4.43E-05,3.51E-04,7.25E-05,6.15E-01,1.04E-04,4.89E-05,3.66E-04,5.26E-05,2.83E-01,5.01E-05,3.79E-05,0.00E+00,0.00E+00,---,2.67E-05,4.62E-05,0.00E+00,0.00E+00,---,2.72E-05,2.66E-05,0.00E+00,0.00E+00,---,
Cystathionine gamma-lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS3 PE=1 SV=2,CYS3 CYI1 STR1 YAL012W FUN35,P31373,6.05,394,42410.89,4,Amino-acid biosynthesis; L-cysteine biosynthesis; L-cysteine from L-homocysteine and L-serine: step 2/2. ,Cytoplasm. ,L-cysteine desulfhydrase activity; L-cystine L-cysteine-lyase (deaminating); cystathionine gamma-lyase activity; cysteine biosynthetic process via cystathionine; cytoplasm; nucleus; pyridoxal phosphate binding; transsulfuration,2.83E-03,8.71E-05,2.71E-04,1.26E-04,1.04E+01,1.77E-03,2.16E-04,1.64E-03,1.81E-04,1.08E+00,1.55E-03,3.86E-04,1.49E-03,1.85E-04,1.04E+00,2.29E-03,1.02E-03,6.06E-04,9.15E-05,3.78E+00,1.06E-03,4.04E-05,8.37E-04,5.23E-05,1.27E+00,1.55E-03,8.62E-04,7.83E-04,1.28E-04,1.97E+00,
60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2A PE=1 SV=1,RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W,P05319,3.94,106,10745.79,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic large ribosomal subunit; structural constituent of ribosome; translational elongation,3.08E-03,1.46E-03,3.59E-02,8.20E-03,8.57E-02,1.20E-03,5.43E-04,1.06E-02,9.85E-04,1.13E-01,1.36E-03,8.21E-04,1.03E-02,7.00E-04,1.31E-01,4.20E-03,1.51E-03,4.60E-02,1.93E-03,9.12E-02,7.22E-03,3.04E-04,4.48E-02,3.22E-03,1.61E-01,5.08E-03,3.43E-04,4.78E-02,9.48E-03,1.06E-01,
Mannose-1-phosphate guanyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSA1 PE=1 SV=2,PSA1 MPG1 SRB1 VIG9 YDL055C,P41940,5.95,361,39565.91,2,Nucleotide-sugar biosynthesis; GDP-alpha-D-mannose biosynthesis; GDP-alpha-D-mannose from alpha-D-mannose 1-phosphate (GTP route): step 1/1. ,Cytoplasm. ,GDP-mannose biosynthetic process; GTP binding; cell cycle; cell wall mannoprotein biosynthetic process; cytoplasm; mannose-1-phosphate guanylyltransferase activity; protein glycosylation,1.06E-03,3.68E-04,0.00E+00,0.00E+00,---,1.55E-03,4.42E-04,9.46E-04,6.38E-05,1.64E+00,1.93E-03,1.90E-04,9.14E-04,5.48E-05,2.12E+00,3.66E-04,5.34E-05,1.02E-04,1.15E-04,3.58E+00,3.63E-04,2.51E-04,0.00E+00,0.00E+00,---,3.80E-04,2.71E-04,7.79E-05,1.35E-04,4.88E+00,
Cysteine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL247W PE=1 SV=1,YNL247W N0885,P53852,6.4,767,87530.25,6,0,0,ATP binding; cysteine-tRNA ligase activity; cysteinyl-tRNA aminoacylation; cytosol; metal ion binding,6.77E-05,7.57E-05,1.11E-05,1.93E-05,6.08E+00,1.16E-04,1.04E-04,2.35E-04,1.73E-05,4.95E-01,1.49E-04,5.64E-05,2.41E-04,5.70E-05,6.19E-01,9.06E-05,1.16E-04,1.31E-04,7.11E-05,6.93E-01,7.91E-05,7.23E-05,9.51E-05,1.74E-05,8.31E-01,1.67E-05,2.90E-05,9.82E-05,4.43E-05,1.70E-01,
AP-1 accessory protein LAA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAA1 PE=1 SV=1,LAA1 YJL207C HRD550 J0312,P39526,5.49,2014,229900.35,0,0,Golgi apparatus. ,"Golgi apparatus; protein localization; protein transport; retrograde transport, endosome to Golgi",---,---,---,---,---,2.51E-05,2.18E-05,4.31E-05,3.91E-05,5.84E-01,1.13E-05,1.96E-05,3.09E-05,1.61E-05,3.67E-01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Adenylosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE13 PE=1 SV=1,ADE13 YLR359W L8039.12,Q05911,6.01,482,54510.47,4,Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. ,0,"'de novo' AMP biosynthetic process; 'de novo' IMP biosynthetic process; (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",5.13E-04,3.24E-04,0.00E+00,0.00E+00,---,4.22E-04,1.18E-04,5.84E-05,5.86E-05,7.22E+00,9.92E-04,5.11E-04,1.90E-04,1.20E-04,5.22E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL25 PE=1 SV=4,RPL25 YOL127W,P04456,10.11,142,15626.38,0,0,Cytoplasm. ,RNA binding; cytoplasmic translation; cytosolic large ribosomal subunit; nucleotide binding; rRNA binding; ribosomal large subunit assembly; structural constituent of ribosome,1.82E-03,1.10E-03,0.00E+00,0.00E+00,---,2.86E-03,1.07E-03,2.15E-03,5.02E-04,1.33E+00,4.46E-03,1.36E-03,1.86E-03,9.21E-04,2.40E+00,2.98E-03,1.37E-05,0.00E+00,0.00E+00,---,2.45E-03,4.48E-04,0.00E+00,0.00E+00,---,2.32E-03,6.07E-04,0.00E+00,0.00E+00,---,
40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS13 PE=1 SV=3,RPS13 RPS13C YDR064W D4252 YD9609.18,P05756,10.44,151,16897.71,0,0,Cytoplasm. ,"90S preribosome; SSU rRNA binding; cytoplasmic translation; cytosolic small ribosomal subunit; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); structural constituent of ribosome",---,---,---,---,---,4.63E-03,2.57E-04,3.40E-03,4.22E-04,1.36E+00,4.85E-03,9.78E-04,1.78E-03,1.21E-04,2.73E+00,4.60E-04,5.91E-04,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,1.65E-04,1.43E-04,0.00E+00,0.00E+00,---,
40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS22A PE=1 SV=2,RPS22A RPS24 RPS24A YJL190C J0355,P0C0W1,9.94,130,14494.85,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic small ribosomal subunit; structural constituent of ribosome,4.16E-04,4.86E-04,0.00E+00,0.00E+00,---,4.69E-03,1.03E-03,4.38E-03,3.67E-04,1.07E+00,6.30E-03,1.55E-03,2.94E-03,2.19E-05,2.14E+00,9.28E-04,3.60E-04,0.00E+00,0.00E+00,---,9.29E-05,1.61E-04,0.00E+00,0.00E+00,---,2.90E-04,2.96E-04,0.00E+00,0.00E+00,---,
Phenylalanine--tRNA ligase alpha subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRS2 PE=1 SV=3,FRS2 YFL022C,P15625,5.52,503,57380.24,6,0,Cytoplasm. ,ATP binding; phenylalanine-tRNA ligase activity; phenylalanine-tRNA ligase complex; phenylalanyl-tRNA aminoacylation; tRNA binding,3.40E-04,3.47E-04,3.40E-05,5.89E-05,1.00E+01,1.01E-03,3.99E-05,6.00E-04,2.41E-04,1.69E+00,5.44E-04,3.56E-04,1.01E-03,2.49E-04,5.37E-01,8.17E-05,8.47E-05,1.81E-05,3.13E-05,4.52E+00,0.00E+00,0.00E+00,1.31E-04,1.34E-04,0.00E+00,1.53E-04,2.65E-04,1.49E-04,3.02E-05,1.03E+00,
Adenosine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADO1 PE=1 SV=1,ADO1 YJR105W J1973,P47143,4.99,340,36372.34,2,Purine metabolism; AMP biosynthesis via salvage pathway; AMP from adenosine: step 1/1. ,0,"AMP salvage; ATP binding; adenosine kinase activity; cytoplasm; nucleus; phosphotransferase activity, alcohol group as acceptor; purine nucleobase metabolic process; purine ribonucleoside salvage",1.17E-03,3.94E-04,1.51E-04,2.61E-04,7.74E+00,1.27E-03,7.50E-05,1.76E-03,2.15E-04,7.21E-01,7.06E-04,1.11E-04,2.80E-03,1.81E-04,2.52E-01,6.13E-04,7.71E-04,0.00E+00,0.00E+00,---,7.14E-05,6.19E-05,2.66E-05,4.62E-05,2.68E+00,1.11E-04,1.13E-04,2.81E-05,4.87E-05,3.95E+00,
"Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT1 PE=1 SV=2",CIT1 GLU3 LYS6 YNR001C N2019,P00890,6.49,479,49216.27,2,Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate: step 1/2. ,Mitochondrion matrix. ,acetyl-CoA catabolic process; cellular carbohydrate metabolic process; citrate (Si)-synthase activity; citrate metabolic process; cytosol; glutamate biosynthetic process; mitochondrial intermembrane space; mitochondrial matrix; tricarboxylic acid cycle,3.06E-04,1.86E-04,0.00E+00,0.00E+00,---,5.84E-04,1.18E-04,8.32E-04,1.05E-04,7.02E-01,1.22E-03,5.32E-04,4.53E-04,2.12E-05,2.70E+00,7.50E-04,1.25E-04,1.74E-04,6.37E-05,4.30E+00,6.24E-04,2.33E-04,2.85E-04,9.05E-05,2.19E+00,8.17E-04,8.76E-05,9.71E-05,8.94E-05,8.41E+00,
"Alanine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALA1 PE=1 SV=3",ALA1 CDC64 YOR335C,P40825,5.36,983,107390.33,6,0,Cytoplasm.  Mitochondrion. ,ATP binding; alanine-tRNA ligase activity; metal ion binding; mitochondrial alanyl-tRNA aminoacylation; mitochondrion; tRNA binding,---,---,---,---,---,2.20E-04,7.99E-05,7.69E-05,3.17E-05,2.86E+00,1.44E-04,5.16E-05,7.32E-05,3.58E-05,1.97E+00,2.76E-04,1.92E-04,7.50E-05,4.24E-05,3.68E+00,2.94E-04,1.03E-04,1.84E-05,3.19E-05,1.59E+01,2.87E-04,2.97E-05,1.87E-05,3.24E-05,1.54E+01,
"1,3-beta-glucanosyltransferase GAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAS1 PE=1 SV=2",GAS1 GGP1 YMR307W YM9952.09,P22146,4.37,559,54355.09,2,0,Cell membrane; Lipid-anchor â€º GPI-anchor. Secreted â€º cell wall. ,"1,3-beta-glucanosyltransferase activity; ER to Golgi transport vesicle; anchored to membrane; carbohydrate metabolic process; cellular bud scar; chromatin silencing; extracellular region; filamentous growth; fungal-type cell wall organization; integral to membrane; membrane raft; mitochondrion; nuclear periphery; plasma membrane; primary cell septum",3.48E-04,1.74E-04,1.48E-03,8.99E-05,2.35E-01,6.60E-04,1.60E-04,1.30E-03,4.25E-04,5.08E-01,7.26E-04,3.70E-04,1.15E-03,1.49E-04,6.32E-01,5.85E-04,2.25E-04,9.72E-04,5.45E-05,6.01E-01,9.20E-04,5.05E-05,9.79E-04,1.83E-04,9.40E-01,6.29E-04,2.54E-04,1.08E-03,2.79E-04,5.85E-01,
"Protein FMP27, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP27 PE=1 SV=1",FMP27 YLR454W,Q06179, UNDEFINED,2628,0,0,0,Mitochondrion. ,mitochondrion,---,---,---,---,---,---,---,---,---,---,1.29E-05,1.19E-05,2.38E-05,3.20E-05,5.42E-01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Ribonucleoside-diphosphate reductase small chain 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR4 PE=1 SV=1,RNR4 CRT3 YGR180C,P49723,5.11,345,40054.61,1,Genetic information processing; DNA replication. ,Nucleus. ,"DNA replication; cofactor biosynthetic process; deoxyribonucleoside diphosphate metabolic process; deoxyribonucleotide biosynthetic process; nucleus; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; ribonucleoside-diphosphate reductase complex; transition metal ion binding",1.93E-03,2.91E-04,0.00E+00,0.00E+00,---,7.44E-05,1.29E-04,0.00E+00,0.00E+00,---,8.96E-04,8.85E-05,1.77E-03,6.49E-05,5.07E-01,1.93E-03,4.74E-04,0.00E+00,0.00E+00,---,1.08E-03,2.40E-04,3.21E-04,2.79E-04,3.36E+00,1.39E-03,1.57E-04,2.67E-05,4.62E-05,5.21E+01,
60S ribosomal protein L14-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL14A PE=1 SV=1,RPL14A YKL006W YKL153,P36105,10.94,138,15035.85,0,0,Cytoplasm. ,RNA binding; cytoplasmic translation; cytosolic large ribosomal subunit; structural constituent of ribosome,---,---,---,---,---,4.61E-03,1.79E-04,2.41E-03,5.99E-05,1.91E+00,4.77E-03,1.04E-03,1.47E-03,7.60E-04,3.24E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
60S ribosomal protein L32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL32 PE=1 SV=1,RPL32 YBL092W YBL0838,P38061,11.17,130,14640.13,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic large ribosomal subunit; structural constituent of ribosome,8.92E-04,7.67E-04,0.00E+00,0.00E+00,---,2.74E-03,1.60E-04,1.47E-03,5.83E-04,1.87E+00,4.01E-03,4.57E-04,1.43E-03,2.65E-04,2.80E+00,4.93E-04,6.16E-04,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,6.58E-04,1.47E-04,0.00E+00,0.00E+00,---,
40S ribosomal protein S8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS8A PE=1 SV=1,RPS8A RPS14A YBL072C YBL06.05 YBL0613,P0CX39,10.67,200,22358.48,0,0,Cytoplasm. ,"90S preribosome; cytoplasmic translation; cytosolic small ribosomal subunit; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); structural constituent of ribosome; translational elongation",4.53E-04,2.14E-04,0.00E+00,0.00E+00,---,2.42E-03,4.81E-04,2.42E-03,1.07E-04,9.98E-01,3.32E-03,9.90E-04,1.60E-03,1.48E-04,2.08E+00,2.06E-04,2.13E-04,9.33E-05,8.09E-05,2.20E+00,4.80E-04,1.15E-04,0.00E+00,0.00E+00,---,1.24E-04,1.07E-04,0.00E+00,0.00E+00,---,
Phosphoenolpyruvate carboxykinase [ATP] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCK1 PE=1 SV=2,PCK1 PEPC PPC1 YKR097W,P10963,5.92,549,60983.21,4,Carbohydrate biosynthesis; gluconeogenesis. ,0,ATP binding; cytosol; gluconeogenesis; phosphoenolpyruvate carboxykinase (ATP) activity,---,---,---,---,---,8.34E-04,1.17E-04,6.21E-04,1.80E-04,1.34E+00,6.45E-04,3.70E-04,7.19E-04,1.68E-04,8.97E-01,2.23E-03,4.51E-04,6.92E-04,1.99E-04,3.23E+00,1.20E-03,1.73E-04,8.32E-04,8.59E-05,1.44E+00,1.49E-03,7.82E-04,6.84E-04,1.62E-04,2.18E+00,
Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP26 PE=1 SV=3,HSP26 YBR072W YBR0714,P15992,5.31,214,23748.43,0,0,0,cytoplasm; mRNA binding; nucleus; protein folding; response to stress; unfolded protein binding,1.86E-03,8.12E-04,7.79E-03,1.29E-03,2.39E-01,2.79E-03,6.66E-04,1.95E-03,1.52E-04,1.43E+00,2.27E-03,5.79E-04,2.57E-03,5.47E-04,8.82E-01,3.89E-03,7.33E-04,8.98E-03,7.68E-04,4.33E-01,5.99E-03,4.92E-04,8.64E-03,3.05E-04,6.93E-01,5.25E-03,8.07E-04,8.85E-03,1.25E-04,5.93E-01,
EH domain-containing and endocytosis protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EDE1 PE=1 SV=2,EDE1 BUD15 YBL047C YBL0501 YBL0520,P34216,4.61,1381,150783.44,0,0,Cytoplasm. ,actin cortical patch; calcium ion binding; cellular bud neck; cellular bud tip; endocytosis; endoplasmic reticulum unfolded protein response; mating projection tip; ubiquitin binding,9.36E-06,1.62E-05,4.78E-04,9.26E-05,1.96E-02,9.29E-06,1.61E-05,1.10E-04,1.14E-05,8.44E-02,3.85E-05,6.66E-05,2.57E-04,7.91E-05,1.50E-01,9.28E-06,1.61E-05,4.34E-04,5.64E-05,2.14E-02,6.90E-05,5.98E-05,6.13E-04,1.25E-04,1.12E-01,6.95E-05,6.58E-05,5.50E-04,5.10E-05,1.26E-01,
Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3,TDH1 GPD1 SSS2 YJL052W J1154,P00360,8.29,332,35749.94,1,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. ,Cytoplasm. ,NAD binding; NADP binding; fungal-type cell wall; gluconeogenesis; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; glycolysis; lipid particle; mitochondrion; plasma membrane,3.40E-02,4.29E-03,2.97E-03,8.45E-04,1.15E+01,1.03E-02,6.80E-04,9.52E-03,4.51E-04,1.08E+00,1.17E-02,6.52E-04,7.15E-03,1.00E-04,1.64E+00,1.15E-02,2.76E-03,1.82E-03,1.23E-03,6.35E+00,6.84E-03,1.61E-04,1.76E-03,4.73E-04,3.89E+00,9.24E-03,1.68E-03,1.41E-03,1.46E-04,6.54E+00,
Fumarate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEL047C PE=1 SV=1,YEL047C SYGP-ORF35,P32614,5.93,470,50844.09,1,0,Mitochondrion. Cytoplasm. ,cellular response to anoxia; cytosol; fumarate reductase (NADH) activity; mitochondrion; plasma membrane; succinate dehydrogenase activity,7.90E-04,3.67E-04,0.00E+00,0.00E+00,---,1.16E-03,2.57E-04,5.29E-04,1.92E-04,2.20E+00,4.78E-04,1.63E-04,5.72E-04,3.90E-05,8.36E-01,2.29E-04,1.99E-04,3.87E-05,6.70E-05,5.93E+00,3.07E-04,8.38E-05,0.00E+00,0.00E+00,---,2.95E-04,3.14E-04,0.00E+00,0.00E+00,---,
"Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH1 PE=1 SV=2",MDH1 YKL085W,P17505,6.79,334,33832.82,1,0,Mitochondrion matrix. ,L-malate dehydrogenase activity; cellular carbohydrate metabolic process; chronological cell aging; mRNA binding; malate metabolic process; mitochondrial matrix; replicative cell aging; tricarboxylic acid cycle,6.67E-04,1.28E-04,3.23E-04,1.43E-05,2.06E+00,2.59E-03,7.15E-04,5.65E-04,1.85E-04,4.58E+00,1.86E-03,3.93E-04,8.99E-04,4.36E-04,2.07E+00,1.62E-03,2.93E-04,8.53E-04,1.11E-04,1.89E+00,1.26E-03,1.92E-04,5.73E-04,1.23E-04,2.19E+00,1.29E-03,3.24E-04,7.88E-04,2.23E-04,1.64E+00,
60S ribosomal protein L1-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL1A PE=1 SV=1,RPL1A SSM1 SSM1A YPL220W,P0CX43,9.73,217,24354.54,0,0,Cytoplasm. ,RNA binding; cytoplasmic translation; cytosolic large ribosomal subunit; structural constituent of ribosome,6.67E-04,1.22E-04,3.94E-05,6.82E-05,1.69E+01,2.58E-03,4.60E-04,1.71E-03,3.43E-04,1.51E+00,2.75E-03,7.73E-04,1.39E-03,3.37E-04,1.99E+00,3.73E-04,2.06E-04,0.00E+00,0.00E+00,---,5.34E-05,9.26E-05,0.00E+00,0.00E+00,---,1.73E-04,1.78E-04,0.00E+00,0.00E+00,---,
